wazuh.indexer-1  | [2026-05-05T12:30:07,879][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[validate-template-n9fcx5tmrbgvhzrrtaccvw/epFKrX1VS-OUBgZ_lHIKXw]
wazuh.indexer-1  | [2026-05-05T12:30:07,896][INFO ][o.o.c.m.MetadataIndexTemplateService] [wazuh.indexer] adding index template [wazuh-states-inventory-browser-extensions-wazuh.manager_template] for index patterns [wazuh-states-inventory-browser-extensions*]
wazuh.indexer-1  | [2026-05-05T12:30:08,099][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[validate-template-xrnvb0-0r42emyeyix2iig/52T2f0AKR2iB5wACsjdR_A]
wazuh.indexer-1  | [2026-05-05T12:30:08,111][INFO ][o.o.c.m.MetadataIndexTemplateService] [wazuh.indexer] adding index template [wazuh-states-inventory-services-wazuh.manager_template] for index patterns [wazuh-states-inventory-services*]
wazuh.indexer-1  | [2026-05-05T12:30:08,188][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-states-inventory-hotfixes-wazuh.manager/W9lAUmUSRa61_24B1WvzxA]
wazuh.indexer-1  | [2026-05-05T12:30:08,198][INFO ][o.o.c.m.MetadataCreateIndexService] [wazuh.indexer] [wazuh-states-inventory-hotfixes-wazuh.manager] creating index, cause [api], templates [wazuh-states-inventory-hotfixes-wazuh.manager_template], shards [1]/[0]
wazuh.indexer-1  | [2026-05-05T12:30:08,271][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-states-inventory-ports-wazuh.manager/3H0OtWOBT9WjOpLJMYcK_w]
wazuh.indexer-1  | [2026-05-05T12:30:08,280][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-states-inventory-hotfixes-wazuh.manager/W9lAUmUSRa61_24B1WvzxA]
wazuh.indexer-1  | [2026-05-05T12:30:08,290][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-states-inventory-processes-wazuh.manager/KbOKzSseQtuPgucPs1EQrQ]
wazuh.indexer-1  | [2026-05-05T12:30:08,503][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-states-inventory-protocols-wazuh.manager/HBZzfW59R2m2jMa-SBL3pg]
wazuh.indexer-1  | [2026-05-05T12:30:08,518][INFO ][o.o.c.m.MetadataCreateIndexService] [wazuh.indexer] [wazuh-states-inventory-protocols-wazuh.manager] creating index, cause [api], templates [wazuh-states-inventory-protocols-wazuh.manager_template], shards [1]/[0]
wazuh.indexer-1  | [2026-05-05T12:30:08,628][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-states-inventory-protocols-wazuh.manager/HBZzfW59R2m2jMa-SBL3pg]
wazuh.indexer-1  | [2026-05-05T12:30:08,681][INFO ][o.o.p.PluginsService     ] [wazuh.indexer] PluginService:onIndexModule index:[wazuh-states-inventory-interfaces-wazuh.manager/F7W-Ro7jTaq5kxcQJSN2cQ]
wazuh.indexer-1  | [2026-05-05T12:30:08,691][INFO ][o.o.c.m.MetadataCreateIndexService] [wazuh.indexer] [wazuh-states-inventory-interfaces-wazuh.manager] creating index, cause [api], templates [wazuh-states-inventory-interfaces-wazuh.manager_template], shards [1]/[0]
